time,value
2021-10-07 08:00:00,3686.6666666666665
2021-10-07 09:00:00,4266.416666666667
2021-10-07 10:00:00,2215.25
2021-10-07 11:00:00,2733.6363636363635
2021-10-07 12:00:00,1647.5833333333333
2021-10-07 13:00:00,766.0
2021-10-07 14:00:00,510.1666666666667
2021-10-07 15:00:00,299.75
2021-10-07 16:00:00,78.16666666666667
2021-10-07 17:00:00,0.0
2021-10-07 18:00:00,0.0
2021-10-07 19:00:00,0.0
2021-10-07 20:00:00,0.0
2021-10-07 21:00:00,0.0
2021-10-07 22:00:00,0.0
2021-10-07 23:00:00,0.0
